TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DT,Lithology,Well
685.07,558.2104,17.6914,0.0742,0.0278,0.8449,7.4964,129.1383,2.6992,0.0175,2341.083,14.7944,3.5726,65.6613,FILITO,3_BRSA_778_SE
685.08,554.4208,17.7858,0.0715,0.0282,0.849,7.4451,129.1942,2.7004,0.0179,2411.5532,14.8631,3.5798,65.7801,FILITO,3_BRSA_778_SE
685.09,534.7843,17.6569,0.0695,0.0294,0.8588,7.3996,129.2502,2.7015,0.0183,2482.0233,14.9317,3.5869,65.8988,FILITO,3_BRSA_778_SE
685.1,571.0852,18.4059,0.062,0.0296,0.8536,7.4418,129.3061,2.7027,0.0187,2552.4934,15.0004,3.5941,66.0175,FILITO,3_BRSA_778_SE
685.11,586.5925,18.8264,0.0568,0.031,0.8508,7.3986,129.408,2.7032,0.0188,2635.7535,14.9918,3.5987,66.0676,FILITO,3_BRSA_778_SE
685.12,552.2935,18.326,0.0543,0.0308,0.8602,7.4125,129.5099,2.7037,0.019,2719.0136,14.9833,3.6034,66.1177,FILITO,3_BRSA_778_SE
685.13,559.2704,18.4322,0.0538,0.0322,0.8583,7.3644,129.6117,2.7041,0.0191,2802.2737,14.9747,3.608,66.1678,FILITO,3_BRSA_778_SE
685.14,592.3478,18.775,0.0554,0.0322,0.8518,7.3538,129.7136,2.7046,0.0192,2885.5338,14.9662,3.6127,66.2179,FILITO,3_BRSA_778_SE
685.15,613.0249,18.8047,0.0624,0.0335,0.848,7.2684,129.8155,2.7051,0.0193,2968.7939,14.9576,3.6173,66.268,FILITO,3_BRSA_778_SE
685.16,601.1615,18.6416,0.0652,0.0336,0.8484,7.2478,129.9174,2.7056,0.0195,3052.0541,14.949,3.6219,66.3181,FILITO,3_BRSA_778_SE
685.17,620.4746,18.8159,0.0666,0.0335,0.8408,7.2518,130.0193,2.7061,0.0196,3135.3142,14.9405,3.6266,66.3682,FILITO,3_BRSA_778_SE
685.18,657.7236,19.2083,0.0691,0.0354,0.8354,7.2176,130.1211,2.7065,0.0197,3218.5743,14.9319,3.6312,66.4183,FILITO,3_BRSA_778_SE
685.19,648.9304,19.0473,0.0678,0.0342,0.836,7.3184,130.223,2.707,0.0199,3301.8344,14.9234,3.6359,66.4684,FILITO,3_BRSA_778_SE
685.2,634.0283,18.9361,0.066,0.0328,0.837,7.3997,130.3249,2.7075,0.02,3385.0945,14.9148,3.6405,66.5185,FILITO,3_BRSA_778_SE
685.21,619.1939,18.6613,0.0671,0.0312,0.8439,7.4358,130.3259,2.7079,0.0201,3532.7148,14.9395,3.644,66.5595,FILITO,3_BRSA_778_SE
685.22,628.2035,18.6444,0.0672,0.0309,0.8443,7.406,130.3269,2.7084,0.0203,3680.335,14.9642,3.6474,66.6006,FILITO,3_BRSA_778_SE
685.23,631.7147,18.822,0.0646,0.029,0.8382,7.4783,130.3279,2.7088,0.0204,3827.9552,14.989,3.6508,66.6416,FILITO,3_BRSA_778_SE
685.24,643.4406,18.993,0.0662,0.0286,0.8258,7.4296,130.3289,2.7092,0.0205,3975.5755,15.0137,3.6543,66.6826,FILITO,3_BRSA_778_SE
685.25,635.248,18.9072,0.0693,0.0284,0.8266,7.4428,130.3299,2.7096,0.0207,4123.1958,15.0384,3.6578,66.7236,FILITO,3_BRSA_778_SE
685.26,642.2053,19.0587,0.0666,0.0302,0.827,7.348,130.3309,2.7101,0.0208,4270.816,15.0631,3.6612,66.7647,FILITO,3_BRSA_778_SE
685.27,652.247,19.3725,0.0612,0.0313,0.8328,7.3117,130.3319,2.7105,0.0209,4418.4362,15.0878,3.6646,66.8057,FILITO,3_BRSA_778_SE
685.28,634.818,19.0838,0.0631,0.0328,0.8468,7.2441,130.3329,2.7109,0.021,4566.0565,15.1126,3.6681,66.8467,FILITO,3_BRSA_778_SE
685.29,598.7458,18.6234,0.0642,0.0352,0.8628,7.1256,130.3339,2.7114,0.0212,4713.6768,15.1373,3.6716,66.8878,FILITO,3_BRSA_778_SE
685.3,586.8305,18.5528,0.064,0.0375,0.8676,7.0066,130.3349,2.7118,0.0213,4861.297,15.162,3.675,66.9288,FILITO,3_BRSA_778_SE
685.31,585.8872,18.6916,0.0598,0.0374,0.8664,7.0604,129.9783,2.7124,0.0216,5656.1364,15.0871,3.6726,66.9051,FILITO,3_BRSA_778_SE
685.32,567.2552,18.4982,0.0599,0.0388,0.8674,6.9594,129.6217,2.7129,0.0218,6450.9758,15.0121,3.6702,66.8814,FILITO,3_BRSA_778_SE
685.33,545.1055,18.2252,0.0616,0.0392,0.8721,6.9736,129.2651,2.7135,0.0221,7245.8152,14.9372,3.6677,66.8576,FILITO,3_BRSA_778_SE
685.34,548.3554,18.3504,0.0586,0.0384,0.8724,7.0303,128.9085,2.7141,0.0223,8040.6546,14.8623,3.6653,66.8339,FILITO,3_BRSA_778_SE
685.35,540.7919,18.1569,0.0586,0.035,0.8754,7.2206,128.5519,2.7147,0.0226,8835.494,14.7873,3.6629,66.8102,FILITO,3_BRSA_778_SE
685.36,536.686,17.9116,0.0598,0.033,0.8761,7.254,128.1954,2.7152,0.0229,9630.3334,14.7124,3.6605,66.7865,FILITO,3_BRSA_778_SE
685.37,548.4208,17.9909,0.061,0.0308,0.8752,7.4228,127.8388,2.7158,0.0231,10425.1728,14.6375,3.6581,66.7628,FILITO,3_BRSA_778_SE
685.38,559.6967,18.0777,0.0624,0.0302,0.8719,7.4142,127.4822,2.7164,0.0234,11220.0122,14.5626,3.6556,66.739,FILITO,3_BRSA_778_SE
685.39,556.2695,17.8484,0.0673,0.0288,0.8742,7.4928,127.1256,2.7169,0.0236,12014.8516,14.4876,3.6532,66.7153,FILITO,3_BRSA_778_SE
685.4,554.8963,17.8141,0.0706,0.029,0.8737,7.412,126.769,2.7175,0.0239,12809.691,14.4127,3.6508,66.6916,FILITO,3_BRSA_778_SE
685.41,576.1554,18.2147,0.0672,0.0288,0.8646,7.4362,126.3824,2.7176,0.024,13528.7219,14.3417,3.6446,66.6382,FILITO,3_BRSA_778_SE
685.42,579.2807,18.373,0.0628,0.0286,0.8562,7.4468,125.9959,2.7177,0.0241,14247.7528,14.2707,3.6385,66.5848,FILITO,3_BRSA_778_SE
685.43,560.9746,18.0825,0.0614,0.0277,0.8516,7.4775,125.6093,2.7178,0.0241,14966.7837,14.1997,3.6323,66.5314,FILITO,3_BRSA_778_SE
685.44,558.4502,18.1172,0.0596,0.028,0.8395,7.4022,125.2228,2.7179,0.0242,15685.8146,14.1287,3.6261,66.478,FILITO,3_BRSA_778_SE
685.45,556.3306,18.1318,0.053,0.0276,0.8236,7.4431,124.8362,2.718,0.0243,16404.8455,14.0577,3.6199,66.4245,FILITO,3_BRSA_778_SE
685.46,539.0699,17.8671,0.052,0.0279,0.816,7.4122,124.4496,2.7181,0.0244,17123.8764,13.9868,3.6138,66.3711,FILITO,3_BRSA_778_SE
685.47,484.942,16.9566,0.0562,0.0276,0.8294,7.3972,124.0631,2.7182,0.0245,17842.9073,13.9158,3.6076,66.3177,FILITO,3_BRSA_778_SE
685.48,469.5363,16.5692,0.0632,0.028,0.8361,7.365,123.6765,2.7183,0.0245,18561.9382,13.8448,3.6014,66.2643,FILITO,3_BRSA_778_SE
685.49,468.5441,16.5578,0.0655,0.0272,0.847,7.4275,123.29,2.7184,0.0246,19280.9691,13.7738,3.5953,66.2109,FILITO,3_BRSA_778_SE
685.5,461.9678,16.4936,0.065,0.0269,0.8578,7.4316,122.9034,2.7185,0.0247,20000.0,13.7028,3.5891,66.1575,FILITO,3_BRSA_778_SE
685.51,467.3664,16.3289,0.0708,0.027,0.8652,7.4514,122.2816,2.7186,0.0248,20000.0,13.656,3.5813,66.0954,FILITO,3_BRSA_778_SE
685.52,500.3776,16.7696,0.0724,0.0273,0.8671,7.444,121.6598,2.7187,0.025,20000.0,13.6092,3.5735,66.0332,FILITO,3_BRSA_778_SE
685.53,534.1964,17.2248,0.0716,0.0272,0.8665,7.4504,121.0381,2.7188,0.0251,20000.0,13.5625,3.5657,65.9711,FILITO,3_BRSA_778_SE
685.54,550.5508,17.542,0.0711,0.0268,0.8629,7.48,120.4163,2.7189,0.0252,20000.0,13.5157,3.5579,65.9089,FILITO,3_BRSA_778_SE
685.55,588.4678,18.0735,0.0711,0.0274,0.8545,7.4899,119.7945,2.719,0.0253,20000.0,13.4689,3.5501,65.8468,FILITO,3_BRSA_778_SE
