TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DTC,Lithology,Well
54.67,0.0,0.0,1.0,1.0,1.0,0.0,85.2302,2.3606,-0.4071,35.2653,0.5472,26.7447,55.2915,FOLHELHO,3_BRSA_889_SE
54.68,0.0,0.0,1.0,1.0,1.0,0.0,85.3472,2.3606,-0.4071,35.3628,0.5484,26.7447,55.3047,FOLHELHO,3_BRSA_889_SE
54.69,0.0,0.0,1.0,1.0,1.0,0.0,85.4641,2.3606,-0.4071,35.4603,0.5496,26.7447,55.3179,FOLHELHO,3_BRSA_889_SE
54.7,0.0,0.0,1.0,1.0,1.0,0.0,85.5811,2.3606,-0.4071,35.5578,0.5508,26.7447,55.3311,FOLHELHO,3_BRSA_889_SE
54.71,0.0,0.0,1.0,1.0,1.0,0.0,85.4524,2.3606,-0.4071,35.7457,0.5514,26.7447,55.3938,FOLHELHO,3_BRSA_889_SE
54.72,0.0,0.0,1.0,1.0,1.0,0.0,85.3238,2.3606,-0.4071,35.9336,0.552,26.7448,55.4566,FOLHELHO,3_BRSA_889_SE
54.73,0.0,0.0,1.0,1.0,1.0,0.0,85.1951,2.3606,-0.4071,36.1215,0.5525,26.7448,55.5194,FOLHELHO,3_BRSA_889_SE
54.74,0.0,0.0,1.0,1.0,1.0,0.0,85.0665,2.3606,-0.4071,36.3094,0.5531,26.7448,55.5822,FOLHELHO,3_BRSA_889_SE
54.75,0.0,0.0,1.0,1.0,1.0,0.0,84.9378,2.3606,-0.4071,36.4973,0.5537,26.7449,55.645,FOLHELHO,3_BRSA_889_SE
54.76,0.0,0.0,1.0,1.0,1.0,0.0,84.8092,2.3606,-0.4071,36.6852,0.5542,26.7449,55.7078,FOLHELHO,3_BRSA_889_SE
54.77,0.0,0.0,1.0,1.0,1.0,0.0,84.6805,2.3606,-0.4071,36.8731,0.5548,26.7449,55.7706,FOLHELHO,3_BRSA_889_SE
54.78,0.0,0.0,1.0,1.0,1.0,0.0,84.5518,2.3606,-0.4071,37.061,0.5554,26.745,55.8333,FOLHELHO,3_BRSA_889_SE
54.79,0.0,0.0,1.0,1.0,1.0,0.0,84.4232,2.3606,-0.4071,37.2489,0.5559,26.745,55.8961,FOLHELHO,3_BRSA_889_SE
54.8,0.0,0.0,1.0,1.0,1.0,0.0,84.2945,2.3606,-0.4071,37.4368,0.5565,26.745,55.9589,FOLHELHO,3_BRSA_889_SE
54.81,0.0,0.0,1.0,1.0,1.0,0.0,83.9771,2.3606,-0.4071,37.7302,0.5517,26.7451,55.9943,FOLHELHO,3_BRSA_889_SE
54.82,0.0,0.0,1.0,1.0,1.0,0.0,83.6596,2.3606,-0.4071,38.0235,0.5469,26.7451,56.0298,FOLHELHO,3_BRSA_889_SE
54.83,0.0,0.0,1.0,1.0,1.0,0.0,83.3422,2.3606,-0.4071,38.3169,0.5422,26.7451,56.0652,FOLHELHO,3_BRSA_889_SE
54.84,0.0,0.0,1.0,1.0,1.0,0.0,83.0247,2.3606,-0.4071,38.6102,0.5374,26.7452,56.1006,FOLHELHO,3_BRSA_889_SE
54.85,0.0,0.0,1.0,1.0,1.0,0.0,82.7072,2.3605,-0.4071,38.9036,0.5326,26.7452,56.1361,FOLHELHO,3_BRSA_889_SE
