TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO
495.73,215.3056,9.8264,0.1402,0.0385,0.8672,6.8049,50.8884,2.5808,0.0024
495.74,218.8746,9.718,0.1449,0.038,0.8587,6.8096,51.0172,2.5822,0.0016
495.75,231.3838,9.6702,0.1502,0.038,0.8438,6.8254,51.146,2.5835,0.0009
495.76,244.0416,9.6834,0.1526,0.0388,0.8264,6.7936,51.2749,2.5848,0.0002
495.77,260.5146,9.7868,0.1472,0.0386,0.8216,6.8398,51.4037,2.5862,-0.0006
495.78,267.5398,9.6896,0.1446,0.0393,0.8182,6.7826,51.5326,2.5875,-0.0013
495.79,275.6774,9.618,0.1461,0.0395,0.8129,6.7528,51.6615,2.5889,-0.0021
495.8,267.6548,9.3694,0.1486,0.0408,0.8105,6.6887,51.7903,2.5902,-0.0028
495.81,245.17,8.9018,0.1527,0.0417,0.8185,6.6613,52.0435,2.5904,-0.0029
495.82,222.0128,8.4486,0.1575,0.0438,0.822,6.5476,52.2967,2.5905,-0.0031
495.83,194.7142,8.018,0.1628,0.0438,0.8272,6.5548,52.5499,2.5906,-0.0032
495.84,163.128,7.5578,0.1612,0.0439,0.841,6.5483,52.8031,2.5908,-0.0034
495.85,139.0228,7.3252,0.1607,0.0424,0.8557,6.6391,53.0564,2.591,-0.0035
495.86,117.994,7.096,0.1578,0.0427,0.8772,6.6195,53.3096,2.5911,-0.0036
495.87,111.8844,7.2823,0.1527,0.0417,0.9012,6.6954,53.5628,2.5912,-0.0038
495.88,110.7997,7.3817,0.1514,0.0406,0.9144,6.7444,53.816,2.5914,-0.0039
495.89,105.1184,7.2038,0.1548,0.0402,0.9271,6.7421,54.0692,2.5915,-0.0041
495.9,99.82,7.0438,0.1576,0.04,0.9336,6.748,54.3224,2.5917,-0.0042
495.91,87.9445,6.823,0.1532,0.0386,0.9397,6.7938,54.6206,2.5917,-0.0042
495.92,80.5509,6.5614,0.1559,0.0382,0.9396,6.7954,54.9187,2.5917,-0.0041
