TDEP,LITOLOGIA
69.2,ARENITO
69.3,ARENITO
69.4,ARENITO
69.5,ARENITO
69.6,ARENITO
69.7,ARENITO
69.8,ARENITO
69.9,ARENITO
70.0,ARENITO
70.1,ARENITO
70.2,ARENITO
70.3,ARENITO
70.4,ARENITO
70.5,ARENITO
70.6,ARENITO
70.7,ARENITO
70.8,ARENITO
70.9,ARENITO
71.0,ARENITO
71.1,ARENITO
71.2,ARENITO
71.3,ARENITO
71.4,ARENITO
71.5,ARENITO
71.6,ARENITO
71.7,ARENITO
71.8,ARENITO
71.9,ARENITO
72.0,ARENITO
72.1,ARENITO
72.2,ARENITO
72.3,ARENITO
72.4,ARENITO
72.5,ARENITO
72.6,ARENITO
72.7,ARENITO
72.8,ARENITO
72.9,ARENITO
73.0,ARENITO
73.1,ARENITO
73.2,ARENITO
73.3,ARENITO
73.4,ARENITO
73.5,ARENITO
73.6,ARENITO
73.7,ARENITO
73.8,ARENITO
73.9,ARENITO
74.0,ARENITO
74.1,ARENITO
74.2,ARENITO
74.3,ARENITO
74.4,ARENITO
74.5,ARENITO
74.6,ARENITO
74.7,ARENITO
74.8,ARENITO
74.9,ARENITO
75.0,ARENITO
75.1,ARENITO
75.2,ARENITO
75.3,ARENITO
75.4,ARENITO
75.5,ARENITO
75.6,ARENITO
75.7,ARENITO
75.8,ARENITO
75.9,ARENITO
76.0,ARENITO
76.1,ARENITO
76.2,ARENITO
76.3,ARENITO
76.4,ARENITO
76.5,ARENITO
76.6,ARENITO
76.7,ARENITO
76.8,ARENITO
76.9,ARENITO
77.0,ARENITO
77.1,ARENITO
77.2,ARENITO
77.3,ARENITO
77.4,ARENITO
77.5,ARENITO
77.6,ARENITO
77.7,ARENITO
77.8,ARENITO
77.9,ARENITO
78.0,ARENITO
78.1,ARENITO
78.2,ARENITO
78.3,ARENITO
78.4,ARENITO
78.5,ARENITO
78.6,ARENITO
78.7,ARENITO
78.8,ARENITO
78.9,ARENITO
79.0,ARENITO
79.1,ARENITO
79.2,ARENITO
79.3,ARENITO
79.4,ARENITO
79.5,ARENITO
79.6,ARENITO
79.7,ARENITO
79.8,ARENITO
79.9,ARENITO
80.0,ARENITO
80.1,ARENITO
80.2,ARENITO
80.3,ARENITO
80.4,ARENITO
80.5,ARENITO
80.6,ARENITO
80.7,ARENITO
80.8,ARENITO
80.9,ARENITO
81.0,ARENITO
81.1,ARENITO
81.2,ARENITO
81.3,ARENITO
81.4,ARENITO
81.5,ARENITO
81.6,ARENITO
81.7,ARENITO
81.8,ARENITO
81.9,ARENITO
82.0,ARENITO
82.1,ARENITO
82.2,ARENITO
82.3,ARENITO
82.4,ARENITO
82.5,ARENITO
82.6,ARENITO
82.7,ARENITO
82.8,ARENITO
82.9,ARENITO
83.0,ARENITO
83.1,ARENITO
83.2,ARENITO
83.3,ARENITO
83.4,ARENITO
83.5,ARENITO
83.6,ARENITO
83.7,ARENITO
83.8,ARENITO
83.9,ARENITO
84.0,ARENITO
84.1,ARENITO
84.2,ARENITO
84.3,ARENITO
84.4,ARENITO
84.5,ARENITO
84.6,ARENITO
84.7,ARENITO
84.8,ARENITO
84.9,ARENITO
85.0,ARENITO
85.1,ARENITO
85.2,ARENITO
85.3,ARENITO
85.4,ARENITO
85.5,ARENITO
85.6,ARENITO
85.7,ARENITO
85.8,ARENITO
85.9,ARENITO
86.0,ARENITO
86.1,ARENITO
86.2,ARENITO
86.3,ARENITO
86.4,ARENITO
86.5,ARENITO
86.6,ARENITO
86.7,ARENITO
86.8,ARENITO
86.9,ARENITO
87.0,ARENITO
87.1,ARENITO
87.2,ARENITO
87.3,ARENITO
87.4,ARENITO
87.5,ARENITO
87.6,ARENITO
87.7,ARENITO
87.8,ARENITO
87.9,ARENITO
88.0,ARENITO
88.1,ARENITO
88.2,ARENITO
88.3,ARENITO
88.4,ARENITO
88.5,ARENITO
88.6,ARENITO
88.7,ARENITO
88.8,ARENITO
88.9,ARENITO
89.0,ARENITO
89.1,ARENITO
89.2,ARENITO
89.3,ARENITO
89.4,ARENITO
89.5,ARENITO
89.6,ARENITO
89.7,ARENITO
89.8,ARENITO
89.9,ARENITO
90.0,ARENITO
90.1,ARENITO
90.2,ARENITO
90.3,ARENITO
90.4,ARENITO
90.5,ARENITO
90.6,ARENITO
90.7,ARENITO
90.8,ARENITO
90.9,ARENITO
91.0,ARENITO
91.1,ARENITO
91.2,ARENITO
91.3,ARENITO
91.4,ARENITO
91.5,ARENITO
91.6,ARENITO
91.7,ARENITO
91.8,ARENITO
91.9,ARENITO
92.0,ARENITO
92.1,ARENITO
92.2,ARENITO
92.3,ARENITO
92.4,ARENITO
92.5,ARENITO
92.6,ARENITO
92.7,ARENITO
92.8,ARENITO
92.9,ARENITO
93.0,ARENITO
93.1,ARENITO
93.2,ARENITO
93.3,ARENITO
93.4,ARENITO
93.5,ARENITO
93.6,ARENITO
93.7,ARENITO
93.8,ARENITO
93.9,ARENITO
94.0,ARENITO
94.1,ARENITO
94.2,ARENITO
94.3,ARENITO
94.4,ARENITO
94.5,ARENITO
94.6,ARENITO
94.7,ARENITO
94.8,ARENITO
94.9,ARENITO
95.0,ARENITO
95.1,ARENITO
95.2,ARENITO
95.3,ARENITO
95.4,ARENITO
95.5,ARENITO
95.6,ARENITO
95.7,ARENITO
95.8,ARENITO
95.9,ARENITO
96.0,ARENITO
96.1,ARENITO
96.2,ARENITO
96.3,ARENITO
96.4,ARENITO
96.5,CALCARENITO
96.6,CALCARENITO
96.7,CALCARENITO
96.8,CALCARENITO
96.9,CALCARENITO
97.0,CALCARENITO
97.1,CALCARENITO
97.2,CALCARENITO
97.3,CALCARENITO
97.4,CALCARENITO
97.5,CALCARENITO
97.6,CALCARENITO
97.7,CALCARENITO
97.8,CALCARENITO
97.9,CALCARENITO
98.0,CALCARENITO
98.1,CALCARENITO
98.2,CALCARENITO
98.3,CALCARENITO
98.4,CALCARENITO
98.5,CALCARENITO
98.6,CALCARENITO
98.7,CALCARENITO
98.8,CALCARENITO
98.9,CALCARENITO
99.0,CALCARENITO
99.1,CALCARENITO
99.2,CALCARENITO
99.3,CALCARENITO
99.4,CALCARENITO
99.5,CALCARENITO
99.6,CALCARENITO
99.7,CALCARENITO
99.8,CALCARENITO
99.9,CALCARENITO
100.0,CALCARENITO
100.1,ARENITO
100.2,ARENITO
100.3,ARENITO
100.4,ARENITO
100.5,ARENITO
100.6,ARENITO
100.7,ARENITO
100.8,ARENITO
100.9,ARENITO
101.0,ARENITO
101.1,ARENITO
101.2,ARENITO
101.3,ARENITO
101.4,ARENITO
101.5,ARENITO
101.6,ARENITO
101.7,ARENITO
101.8,ARENITO
101.9,ARENITO
102.0,ARENITO
102.1,ARENITO
102.2,ARENITO
102.3,ARENITO
102.4,ARENITO
102.5,CALCARENITO
102.6,CALCARENITO
102.7,CALCARENITO
102.8,CALCARENITO
102.9,CALCARENITO
103.0,CALCARENITO
103.1,CALCARENITO
103.2,CALCARENITO
103.3,CALCARENITO
103.4,CALCARENITO
103.5,CALCARENITO
103.6,CALCARENITO
103.7,CALCARENITO
103.8,CALCARENITO
